"file_name","last_update","start_date","event_title"
"5278836_T",2015-02-11 12:57:06,2014-02-12 07:30:00,"Q4 2013 Wix.Com Ltd Earnings Conference Call"
"11681513_T",2018-09-12 07:27:13,2018-09-06 09:00:00,"Q1 2019 John Wiley & Sons Inc Earnings Call"
"697569_T",2003-01-23 23:57:52,2003-01-23 16:30:00,"Q4 2002 Zions Bancorp Earnings Conference Call"
"3073153_T",2010-05-07 12:52:50,2010-05-07 08:00:00,"Q1 2010 Central Vermont Public Service Earnings Conference Call"
"1444157_T",2007-01-24 11:05:02,2007-01-24 09:00:00,"Q1 2007 Air Products and Chemicals Inc Earnings Conference Call"
"5906417_T",2016-02-17 21:03:33,2016-02-17 16:00:00,"Q4 2015 Jive Software Inc Earnings Call"
"3803073_T",2011-03-10 09:39:35,2011-03-10 03:30:00,"Preliminary 2010 Standard Life Earnings Conference Call (Listen Only)"
"12276912_T",2019-01-28 01:34:48,2019-01-24 16:00:00,"Q4 2018 Customers Bancorp Inc Earnings Call"
"5787955_T",2015-09-22 14:30:10,2015-08-26 07:30:00,"Q2 2015 Chico's FAS Inc Earnings Call"
"12080991_T",2018-10-24 20:45:29,2018-10-24 10:00:00,"Q3 2018 Natus Medical Inc Earnings Call"
"1109859_T",2005-08-09 22:44:40,2005-08-09 10:00:00,"Q2 2005 PanAmSat Holding Corporation Earnings Conference Call"
"802054_T",2003-11-11 15:53:55,2003-11-11 06:00:00,"Q4 2003 Tier Technologies Earnings Conference Call"
"1920371_T",2008-10-09 14:12:09,2008-08-12 09:00:00,"Interim 2008 InterContinental Hotels Group Earnings Conference Call (US)"
"11370811_T",2018-03-21 22:26:21,2018-03-21 07:30:00,"Q3 2018 General Mills Inc Earnings Call"
"766942_T",2019-03-06 01:19:03,2003-07-31 10:00:00,"Q2 2003 Anika Therapeutics Earnings Conference Call"
"1805207_T",2008-05-02 14:28:01,2008-05-02 07:30:00,"Q1 2008 Barnes Group Earnings Conference Call"
"1400229_T",2007-02-04 19:55:15,2006-11-14 02:30:00,"Interim 2007 INFORMATION SVCS INTL DENTSU Earnings Presentation (Japanese)"
"5115141_T",2013-07-31 15:02:40,2013-07-31 09:00:00,"Q2 2013 Tanger Factory Outlet Centers, Inc. Earnings Conference Call"
"5135773_T",2013-08-02 12:50:16,2013-08-01 16:00:00,"Q2 2013 Kona Grill Inc Earnings Conference Call"
